Name,Release_season,Rating,Release_year,End_year
The Disastrous Life of Saiki K. - Reawakened,Winter,4.2,2019,Ongoing
Hunter x Hunter OVA,no data,4.2,2002,Ongoing
Saekano: How to Raise a Boring Girlfriend Fine,no data,4.2,2019,Ongoing
ReLIFE: Kanketsu-hen,no data,4.2,2018,Ongoing
Quanzhi Gaoshou Movie: For the Glory,no data,4.2,2019,Ongoing
Legend of the Galactic Heroes: Die Neue These Second 3,no data,4.2,2019,Ongoing
Kamisama Kiss OVA,no data,4.2,2013,Ongoing
History's Strongest Disciple Kenichi,Fall ,4.2,2006,2007
Castlevania Season 2,Fall ,4.2,2018,Ongoing
Wu Dong Qiankun 2nd Season,no data,4.2,2020,Ongoing
Baccano!,Summer,4.2,2007,Ongoing
One Outs,Fall ,4.2,2008,2009
Re:ZERO -Starting Life in Another World-,Spring,4.2,2016,Ongoing
Skip Beat!,Fall ,4.19,2008,2009
Golden Kamuy Season 2,Fall ,4.19,2018,Ongoing
Eve: Kaikai Kitan,no data,4.19,2020,Ongoing
Puella Magi Madoka Magica the Movie Part 3: Rebellion,no data,4.19,2013,Ongoing
Detective Conan Movie 6: The Phantom of Baker Street,no data,4.19,2002,Ongoing
Owarimonogatari,Fall ,4.19,2015,Ongoing
Silver Spoon 2nd Season,Winter,4.19,2014,Ongoing
Mobile Suit Gundam 00 Second Season,Fall ,4.19,2008,2009
When They Cry: Kai,Summer,4.19,2007,Ongoing
Natsume's Book of Friends,Summer,4.19,2008,Ongoing
Detective Conan Movie 14: The Lost Ship in the Sky,no data,4.19,2010,Ongoing
The Seven Deadly Sins: Revival of the Commandments,Winter,4.19,2018,Ongoing
Toradora!,Fall ,4.19,2008,2009
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,no data,4.19,2013,Ongoing
Grand Blue,Summer,4.19,2018,Ongoing
Nodame Cantabile: Finale,Winter,4.19,2010,Ongoing
xxxHOLiC Kei,Spring,4.19,2008,Ongoing
