Rank,Name,Japanese_name,Type,Episodes,Studio
70,Hajime no Ippo: New Challenger, Fighting Spirit: New Challenger,TV   ,26,MADHOUSE
71,Mushishi Zoku Shou 2nd Season, Mushishi -Next Passage- 2nd Season,TV   ,10,Artland
72,Attack on Titan, Shingeki no Kyojin,TV   ,25,WIT Studio
73,Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun,,OVA  ,1,Production I.G
74,Kaguya-sama: Love Is War?, Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV   ,12,A-1 Pictures
75,Gintama: Porori-hen, Gintama: Slip Arc,TV   ,13,BN Pictures
76,March Comes in like a Lion 2nd Season, 3-gatsu no Lion 2nd Season,TV   ,22,SHAFT
77,Natsume's Book of Friends Season 3, Natsume Yuujinchou San,TV   ,13,Brain's Base
78,Attack on Titan 2nd Season, Shingeki no Kyojin 2nd Season,TV   ,12,WIT Studio
79,I Want to Eat Your Pancreas, Kimi no Suizou wo Tabetai,Movie,no data,Studio VOLN
80,Rascal Does Not Dream of a Dreaming Girl, Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,no data,CloverWorks
81,Given Movie,,Movie,no data,Lerche
82,Mushishi Zoku Shou, Mushishi -Next Passage-,TV   ,10,Artland
83,Princess Mononoke, Mononoke Hime,Movie,no data,Studio Ghibli
84,Kuroko's Basketball 3, Kuroko no Basket 3,TV   ,25,Production I.G
85,BTS: We are Bulletproof - the Eternal,,Music,no data,Studio Pivote
86,Haikyuu!! Movie 4: Battle of Concepts, Haikyuu!! Movie 4: Concept no Tatakai,Movie,no data,Production I.G
87,Dr. Stone,,TV   ,24,8 Pan
88,Attack on Titan: No Regrets, Shingeki no Kyojin: Kuinaki Sentaku,OVA  ,2,WIT Studio
89,Horimiya,,TV   ,13,CloverWorks
90,Cowboy Bebop,,TV   ,26,Sunrise
91,Hotarubi no Mori e, To the Forest of Firefly Lights,Movie,no data,Brain's Base
92,The Disastrous Life of Saiki K. 2nd Season, Saiki Kusuo no Psi Nan 2nd Season,TV   ,24,J.C.Staff
93,Monogatari Series: Second Season,,TV   ,26,SHAFT
94,Castlevania Season 4,,Web  ,10,Tiger Animation
95,Doukyuusei, Doukyuusei -Classmates-,Movie,no data,A-1 Pictures
96,ERASED, Boku dake ga Inai Machi,TV   ,12,A-1 Pictures
97,The Rising of the Shield Hero, Tate no Yuusha no Nariagari,TV   ,25,Kinema Citrus
98,To Your Eternity, Fumetsu no Anata e,TV   ,20,Brain's Base
99,Hajime no Ippo: Rising, Fighting Spirit: Rising,TV   ,25,MADHOUSE
100,"Josee, the Tiger and the Fish", Josee to Tora to Sakana-tachi,Movie,no data,Bones
101,Made in Abyss,,TV   ,13,Kinema Citrus
